Id,SalePrice
1461,118772.58123426154
1462,157423.09913049388
1463,180549.0905639127
1464,198166.67866365035
1465,197942.8396682479
1466,170613.12286127635
1467,172663.38037077212
1468,167591.71690113266
1469,189608.13539636284
1470,122731.72969977368
1471,180949.74973725795
1472,98113.60997969564
1473,95809.04901995804
1474,146394.78989154397
1475,115497.03571242033
1476,364955.4096114047
1477,251070.89274085575
1478,317036.15566948877
1479,326549.2505187717
1480,493551.15459708264
1481,336989.70549477305
1482,224350.1522085237
1483,169350.46152144828
1484,172967.52108040755
1485,192639.2617464338
1486,190321.39809033822
1487,329925.6943139769
1488,231341.6835172692
1489,195929.1173750228
1490,221701.95001119183
1491,196326.62043101288
1492,86397.91470113106
1493,194360.34890792094
1494,277991.29891287046
1495,281754.19963674643
1496,233098.5939495544
1497,173154.42480400112
1498,174375.31211833292
1499,166417.4704222767
1500,156631.77493236138
1501,172219.78374098748
1502,155062.96248375252
1503,274610.2768448022
1504,239388.70588505472
1505,220869.226643874
1506,183046.48238400705
1507,235582.04592541844
1508,194078.5211583841
1509,169321.94061898044
1510,144388.19150271124
1511,140776.80529368483
1512,163193.458364153
1513,148374.51746882003
1514,139000.2312328989
1515,199126.99755068953
1516,147027.5290299753
1517,156389.44083088965
1518,126877.40776950346
1519,201995.22790502844
1520,132436.29471664413
1521,133327.0670263566
1522,167827.26082127786
1523,114760.34367532507
1524,123610.06176791643
1525,120443.06295881531
1526,109686.49396770942
1527,105998.11691603533
1528,132046.2417344594
1529,155785.16230899157
1530,182574.05099323473
1531,112170.33355032343
1532,96361.53589528642
1533,138798.8458682583
1534,124827.46173217552
1535,148751.30595106093
1536,112782.88082569373
1537,70925.26853063854
1538,140946.89918449655
1539,189977.3553338725
1540,87349.32863646827
1541,153151.2798450779
1542,141697.44133230633
1543,197609.03612045525
1544,79276.91444303465
1545,112098.08623304317
1546,138880.75940577907
1547,139532.09718898532
1548,135987.32058544003
1549,120908.99929843826
1550,137208.26164023852
1551,97671.74074146146
1552,136066.36095014465
1553,146787.02083559125
1554,119009.60424340706
1555,162242.38829630235
1556,90439.70638972931
1557,100779.93886952664
1558,100035.96641283679
1559,88256.46017882858
1560,136607.63927736302
1561,113663.18028264417
1562,131253.32554761515
1563,118922.97268867865
1564,154132.9950911431
1565,148012.20990107668
1566,243696.12690984263
1567,79102.37258018451
1568,222159.44006437535
1569,125983.98978868123
1570,146354.35077277303
1571,114571.12100944496
1572,138051.58913635268
1573,234479.4509242513
1574,118092.46766447055
1575,224136.69002815965
1576,242429.3967056672
1577,199305.82078158477
1578,146438.50762908702
1579,137280.22484710263
1580,196995.8151627038
1581,150798.2911520304
1582,131917.72736428698
1583,297592.01082604413
1584,215737.74764340927
1585,139568.03914498485
1586,71741.55221563955
1587,105094.10001573409
1588,148059.92297039676
1589,94212.68617657453
1590,135121.21422488624
1591,94034.7752534184
1592,115634.15179449887
1593,122439.01220956119
1594,143427.02815617278
1595,122521.00442348944
1596,235797.16510738985
1597,201119.37551602477
1598,220522.43760493514
1599,167900.1225694148
1600,164363.20325662696
1601,69239.03884260693
1602,110256.15740028859
1603,79336.72751108276
1604,267857.9426373731
1605,241313.31874385756
1606,172919.6869347323
1607,170944.281496995
1608,216422.26197871112
1609,187069.12976215006
1610,154217.02104507235
1611,138640.77754459687
1612,173429.8335976868
1613,162924.44142079196
1614,121439.44077820057
1615,87701.97656146533
1616,76218.13627535784
1617,92627.45566952229
1618,131454.4733262553
1619,142283.71380928325
1620,187761.88847678236
1621,141830.94467065705
1622,138044.29388390417
1623,268666.60963003896
1624,202255.62326934029
1625,114516.82314533457
1626,163683.39920791576
1627,184559.91704742622
1628,291819.185338756
1629,191054.32745508087
1630,343230.90926128835
1631,232697.0792296162
1632,242523.11112623446
1633,180978.01501906844
